title	issued	modified	description	id
Reconfigurable/Reprogrammable Communication Systems, Phase I	2006-07-01	2018-07-19	The future of reconfigurable/reprogrammable transceivers with !Y 1 xxxxxx transmission and reception data rates for future xxxxxx space communications applications will greatly depend on radiation-tolerant, high-speed and precise Digital-to-xxxxxx Converter (DAC), xxxxxx-to-xxxxxx (ADC) and digital processing devices. The present digital state-of-the-art components are limited, especially for ultra high sampling rate ADCs. Most low power ADCs are restricted to rates of about 150 Msps and 12 bits of precision. During xxxxxx I of the program, xxxxxx will research combining analog front-ends with advanced DACs, ADCs and digital processors for creating Software-xxxxxx Radio (SDR) or Cognitive Communication xxxxxx (CCT) systems. A study of MMIC low noise amplifiers, power amplifiers and up/down-converters and digital components will lead to selection of devices to be modeled for SDR/CCT design. The xxxxxx I effort will establish a baseline for a cognitive/adaptive transceiver. The final SDR/CCT design shall include a reconfigurable analog front-end and digital signal processor including a programmable frequency synthesizer for LO and digital clock generation. xxxxxx program will proceed to miniaturized fully integrated power efficient cognitive/adaptive transceivers with scalable bandwidth and digital bit precision. xxxxxxanced SDR/CCT technology will support future DoD/military/xxxxxx requirements and industrial/commercial applications for remotely reprogrammable communication systems.	14640
Handheld CAT Video Game, Phase I	2008-08-01	2018-07-19	The proposed project is to design, develop and fabricate a handheld video game console for astronauts during long space flight. This portable hardware runs entertaining games that detect neurocognitive deficits and give an objective feedback to the astronaut about this decrement. This facilitates the crewmembers and flight surgeons to prescribe recommended countermeasures to the cognitive decrement.	14641
Satellite Swarm Localization and Control via Random Finite Set Statistics, Phase I	2017-06-01	2018-07-19	The proposed novel program will develop and demonstrate a new approach to perform real-time relative vehicle localization within a swarm formation with application to communication-less coordination. These objectives are achieved by using Random Finite Sets statistics theory to solve the multiple object tracking problem. The swarm formation localization problem can be formulated as estimating the local intensity function of targets in the near field and developing probabilistic control strategies to track an expected localization state space configuration. Work will focus on developing estimation and control algorithms that can utilize simple measurements range and bearing angle to other units, and also determine the local environment using feature measurements. Three major tasks are proposed for the development of swarming space vehicle estimation and control: xxxxxx, xxxxxx, and xxxxxxian Collective Decision Making. xxxxxx development in xxxxxx I will extend to a Hypothesis Density Filter and Sequential xxxxxx Hypothesis Density Filter, xxxxxx, Estimation techniques, xxxxxxdmark xxxxxx using these techniques, Behavioral xxxxxx Control, Cyclic xxxxxx Control, and multiple decision making estimation models. Proposed follow-on efforts will fully implement the swarm technology for real-time integrated system use, identify different formation configurations and sensor combination for hardware integration, and work to position the system for integration into a demonstration mission identified in the xxxxxx I work to fully illustrate the mission enhancements of the operational system.	14642
High-Quality Random Number Generation Software for High-Performance Computing, Phase I	2012-08-01	2018-07-19	Random number (RN) generation is the key software component that permits random sampling. Software for parallel RN generation (RNG) should be based on RNGs that are good serial generators, but also are suitable for concurrent execution, i.	14643
Flight Data For Tail 673	2012-12-04	2018-07-19	The following zip files contain individual flight recorded data in xxxxxx file format. There are 186 parameters each with a data structure that contains the following:-sensor recordings-sampling rate-units-parameter description-parameter ID	14644
Fiber Fed Advanced Pulsed Plasma Thruster (APPT), Phase I	2017-12-01	2018-07-19	CU xxxxxx (CUA) proposes the development of the xxxxxxanced xxxxxx (Axxxxxx) that will enable cis-lunar and deep space missions for small satellites. While classic xxxxxx technology is mature, it has historically been limited by its size and propellant load to small xxxxxx-V applications. A recent advancement by CUA, Monofilament xxxxxxization Propulsion (MVP), uses extrusion 3D printing technology to provide polymer propellant to an electrothermal thruster. Axxxxxx will leverage this advancement, using PTFE fiber to allow for class-leading propellant capacity and more reliable feed than previous xxxxxx designs. Axxxxxx is inherently safe, containing no pressurants or hazardous materials, significantly reducing range safety concerns. A 1U Axxxxxx, operating at 1200 seconds xxxxxx, will provide 10,400 N-s total impulse, allowing for 1,400 m/s xxxxxx-V for an 8 kg CubeSat. xxxxxxreasing to a 2U form factor increases total impulse to 30,000 N-s, allowing for a xxxxxx-V exceeding 4 km/s. CUA anticipates delivering to xxxxxx an integrated system by the end of xxxxxx which includes the advanced thruster head, PTFE filament feed system, and an ACS subsystem.	14645
Modular Load-Limiting Device for 3G MAR	2018-09-01	2018-07-19	Design, build, and test a textile LLD with extended stroke, capable of accommodating a wide range of MAR weights to tailor the load limiting capability. Create a cost efficient technique for the capability	14646
Green Applications for Space Power	2014-09-01	2018-07-19	xxxxxx propulsion and power for many decades has relied on xxxxxxzine monopropellant technology for auxiliary power units (APU), orbital circularization, orbit raising/lowering and attitude control.&nbsp; xxxxxxver, xxxxxxzine is toxic and therefore requires special ground handling procedures to ensure launch crew safety.&nbsp; The Swedish Company ECAPS has developed a technology based upon the propellant Ammonium Dinitramide (ADN) that offers higher performance, higher density and reduced ground handling support than xxxxxxzine.&nbsp; This blended propellant is called LMP-103S. Currently, xxxxxx Air Force (xxxxxxF) is pursuing a technology based on Hydroxyl Ammonium xxxxxx (HAN, otherwise known as AF-M315E) with industry partners xxxxxx and Moog.&nbsp; xxxxxx on the advantages offered by these propellants, MSFC should explore powering APU&rsquo;s with these propellants.Due to the availability of space hardware, the principal investigator has found a collection of xxxxxxF hardware, that will act as a surrogate, which operates on a xxxxxxzine derivative.&nbsp; The F-16 fighter jet uses H-70 or 30% diluted xxxxxxzine for an Emergency xxxxxx xxxxxx (EPU) which supplies power to the plane.&nbsp; The PI has acquired two EPU&rsquo;s from planes slated for destruction at the xxxxxx xxxxxxan AFB.This CIF will include a partnership with 2 other xxxxxx Centers who are individually seeking seed funds from their respective organizations: xxxxxx (KSC) and xxxxxx xxxxxx xxxxxx (DFRC).&nbsp; KSC is preparing for future flights from their launch pads that will utilize green propellants and desire a low-cost testbed in which to test and calibrate new leak detection sensors.&nbsp; DFRC has access to F-16&rsquo;s which can be used by MSFC &amp; KSC to perform a ground test that demonstrates emergency power supplied to the jet.Neither of the green propellant alternatives have been considered nor evaluated for an APU application.&nbsp; Work has already been accomplished to characterize and obtain the properties of these 2 propellants.&nbsp; xxxxxxver, the spacecraft are using existing leak detection sensors that are typically used for xxxxxxzine.&nbsp; &nbsp;Using these green propellants for the APU application requires decrementing their xxxxxx down to 3.&nbsp; This task would aim to establish a xxxxxx of 4 at conclusion by showing a proof of concept with a KSC-instrumented EPU asset at the MSFC Component xxxxxxment Area (CDA). &nbsp;&nbsp;The task to accomplish this is called Green xxxxxxlication for xxxxxx xxxxxx or GRASP.&nbsp;&nbsp; A key technical difference (aside from the differences in toxicity) between xxxxxxzine and the green propellant alternatives is the combustion temperature.&nbsp; Both types of propellants are dispensed from their feed tanks through a catalyst material.&nbsp; The catalyst decomposes (reacts) with each propellant and creates the high temperature exhaust gases that are used to either provide thrust (in the application of a rocket engine) or to spin the turbine which provides power to an APU or EPU.&nbsp; xxxxxxzine decomposes at 900 deg C while the green propellants decompose at 1600 deg C.&nbsp; xxxxxxver, the existing H-70 catalyst (Shell 405) works best with dual-bonded nitrogen mixtures.&nbsp; Both ADN and HAN offer this dual-bonded feature.&nbsp; xxxxxxhough the green propellants may burn hotter with their own proprietary catalyst material, they will burn cooler with the Shell 405 product.Additionally, both propellants are mixed with water and the water content can be increased to further reduce combustion temperatures.&nbsp; For this proposal, KSC will ship their green sensors (either for ADN or HAN) to MSFC and we in turn would instrument the EPU dedicated to that propellant.&nbsp; Following completion of one month of testing the EPU instrumented with leak detection sensors, the hardware would be shipped to DFRC for a ground test inside an F-16 aircraft.&nbsp; For the chosen aircraft, the existing H-70 system would be temporarily replaced with the MSFC provided green propellant EPU and the aircraft would be suspended off the ground (jacked) to simulate an engine failure and resultant use of the EPU.&nbsp; The objective would be to show that the landing gear could be deployed and aero control surfaces would properly move to pilot commands.&nbsp;xxxxxxernative approaches to providing power to an APU include an external gas blowdown system, a Lithium Ion battery driven motor or a thermal battery driven motor.&nbsp; All of these approaches have some drawbacks.&nbsp; An external gas blowdown system may employ the use of a stored gas, most likely xxxxxx, to drive the APU turbine.&nbsp; The primary disadvantage to this system is the mass and volume required to store the compressed gas.&nbsp; A similar approach that would minimize the mass and volume is to use gaseous xxxxxx tapped off a liquid propellant rocket engine.&nbsp; xxxxxxver, APU checkouts would be problematic without the engine in operation.&nbsp; An additional system would be required to provide the gas for checkout purposes.&nbsp; In addition, future launch system elements may not have direct access to the liquid rocket engine and would require a disconnect for staging adding to its complexity.&nbsp; Lithium Ion batteries require many cells that must be matched which drive the weight and costs.&nbsp; The disadvantage of thermal batteries lies in its operation or turnaround.&nbsp; For APU checkouts, an external power source is required and in the event of a launch abort or scrub, these batteries must be replaced.&nbsp; These green propellants provide a high power density packaged power source that can be started multiple times with minimal effects on turnaround from issues presented.&nbsp; In addition, this propellant could not only provide a propellant source for APU&rsquo;s but also launch vehicle roll control.&nbsp;	14647
Flight Data For Tail 687	2012-12-04	2018-07-19	The following zip files contain individual flight recorded data in xxxxxx file format. There are 186 parameters each with a data structure that contains the following:-sensor recordings-sampling rate-units-parameter description-parameter ID	14648
Improvements to the ACATS Lidar and Development of a NASA Field Campaign Concept	2017-09-01	2018-07-19	xxxxxx profile measurements of clouds and aerosols (dust, smoke, man-made pollution) from laser remote sensing instruments, such as the xxxxxx xxxxxx-xxxxxx Transport xxxxxx (ACATS) managed at xxxxxx xxxxxx (GSFC), are desired to study the interaction of clouds and aerosols and their influence on the climate system. This project consists of the installation of a new ACATS calibration device and mechanical modifications to the ACATS receiver subsystem. These modifications will result in more accurate measurements from the instrument. In addition, this project includes preparations for GSFC-lead field campaign to study the influence of aerosols on clouds and radiaiton that will include ACATS as a payload on a xxxxxx aircraft.xxxxxx and aerosols can have numerous effects on the atmospheric radiation budget. Ice clouds cause a warming effect, while water clouds can result in a cooling effect. During cloud-free conditions, aerosols such as desert dust and smoke from biomass burning can induce a change in radiative forcing at a magnitude comparable to that of greenhouse gases but opposite the sign. Additionally, aerosol can interact with clouds, changing the radiative effects on the atmosphere. These cloud and aerosol effects on the atmospheric radiation budget remain a major uncertainty in understanding and predicting the climate system.Direct measurements of extinction vertical profiles from high spectral resolution lidars (HSRLs), such as the xxxxxx xxxxxx-xxxxxx Transport xxxxxx (ACATS) managed at xxxxxx xxxxxx (GSFC), are desired to study the interaction of clouds and aerosols and their influence on the climate system. Previous flights aboard a xxxxxx high-altitude aircraft have demonstrated the ability of ACATS to provide direct measurements of extinction for short flight segments. xxxxxxver, the performance of the instrument is impeded by poor instrument calibration. This project includes modifications to the receiver subsystem that enable implementation and testing of a calibration device for improved results.This project also supports the development of a field campaign to study the influence of aerosols on clouds and radiation. The field campaign will include the ACATS instrument and several other earth science instruments that fly on xxxxxx aircrafts, as well as a management team that primarily consists of xxxxxx and NOAA personnel.The objectives of this project are as follows:Improve the ACATS instrument calibration and overall functionality of the receiver subsystem.Ensure the ACATS instrument is ready for future flights on xxxxxx aircraft.xxxxxx the science goals and aircraft configurations for the field campaign proposal that includes the ACATS instrument and several other earth science instruments.The overall goal of this project is to have ACATS ready to participate in future field campaigns and develop the field campaign concept that will include ACATxxxxxx tasks that will be completed to achieve the objectives of project are as follows:xxxxxxte and test the new calibration device (filters, diffusers, and servo actuator assemblies) with the current receiver optics (xxxxxx #1).Oversee the design and installation of a new receiver enclosure that is both durable and meets thermal and mechanical requirements (xxxxxx #1).Test the modified system both in the lab at GSFC and on a xxxxxx aircraft (xxxxxx #2).xxxxxx the science goals and aircraft configurations for the field campaign proposal (xxxxxx #3).	14649
