title	issued	modified	description	id
Novel Hybrid Propulsion System for Sample Return Missions, Phase I	2016-12-01	2018-07-19	xxxxxxbilis xxxxxx Technologies is pleased to propose an innovative hybrid motor propulsion solution utilizing a novel bi-axial grain design in response to solicitation xxxxxx, xxxxxx xxxxxx for Sample xxxxxx xxxxxx. Due to the innovative motor design, the proposed system is significantly shorter than a conventional hybrid motor system but maintains safety, reduced complexity, and storability advantages of hybrid motor systems. The system leverages additive manufacturing for the rocket nozzle and injector system in order to decrease both weight and part count. This innovation is an ideal propulsion technology for a variety of sample return missions from xxxxxx or other bodies with significant gravity wells.	12289
PHOENIX MARS METEOROLOGICAL PRESSURE / TEMPERATURE EDR V1.0	2018-06-26	2018-07-19	The PHX METEOROLOGICAL DATA product contains pre-processed (Digital Numbers) temperature and pressure data. The temperature data was collected at 250, 500 and 1000mm above xxxxxx deck, and the pressure data was collected at (nearly) the height of the xxxxxx deck. Nominally the data was collected at 2 sec resolution, but is also provided at 512 sec averages (with distribution statistics).	12290
3D Flash LIDARAll Weathr Safety, Phase I	2015-12-01	2018-07-19	ASC has developed non-scanning 3D xxxxxxTM imagers for UAS situational awareness and autonomous landing.  This sensing technology is the most advanced LIDAR technology available for UAV guidance and landing site determination.  ASC's array technology has allowed for compact LIDAR cameras that collect full frame 3D point clouds in a single FLASH (xxxxxx).  The 3D days will improve the mobility, efficiency and safety of air transportation systems.  ASC's xxxxxx is the LIDAR in xxxxxx and xxxxxx xxxxxx (ALHAT) for xxxxxx.   The 3D xxxxxx captured the 3D data used in landing site selection and hazard avoidance during the xxxxxx autonomous landing demonstrations.  ASC will use a miniaturized version, of the core 3D xxxxxx technology used for ALHAT, to develop an autonomous landing and hazard avoidance sensor for UAVs operating in national airspace.  The sensor will be capable of a number of autonomous navigation functions, but the xxxxxx I effort will focus on demonstrating unique functions of the sensor.  The first demonstration will address safe xxxxxx Aerial Vehicle (UAV) operation in the first and last 50 ft under diverse weather conditions.	12291
Level 2.0 Almucantar Inversion Products (except phase functions)	2018-06-25	2018-07-19	xxxxxxNET inversion code provides aerosoloptical properties in the total atmospheric column derived from the direct and diffuse radiation measured byxxxxxxNETCimel sun/sky-radiometers. xxxxxxNET inversion developmentand researchactivitiesare described in the papers by xxxxxx and King, [2000], xxxxxx [2000], xxxxxx [2002a], xxxxxx [2002b], xxxxxx, [2006a], xxxxxx. [2006]. The xxxxxx 2(V2)inversion (or retrieval)products are summarized below. These products are available through the internal analysis system&#x0022;demonstrat&#x0022; and the xxxxxxNET website. Adetailed description of V2 xxxxxxNET retrieval will be provided in the paper by xxxxxx, [2006b].	12292
Collaborative Outbound Taxi Metering for Environmental Benefits, Phase I	2008-07-01	2018-07-19	This proposal addresses the concept of Collaborative Outbound Taxi xxxxxxing (COTM), which provides environmental benefits without sacrificing throughput.  In current operations, departure flights must block out of their parking gates to claim their first-come, first-served departure slot.  When departure demand exceeds capacity, flights experience delay in departure queues near the runway.  The need for flights to make incremental steps in the queue significantly increases the engine emissions produced because of the number of times aircraft must apply 'break-away' power, only to stop again after moving just a short distance.  Under the COTM concept, metering techniques assign and maintain departure slots for all departure flights even if aircraft remain at their parking gates.  xxxxxx has conducted initial analysis using historical operational data demonstrating the potential environmental benefits even in the presence of arrival flights requiring parking gates.  This concept has already been applied and shown significant benefits during over-night operations of air cargo carriers.  Implementing the concept across the entire NAS has not been possible due to the requirement to coordinate departure metering amongst multiple airport users.  We propose to further demonstrate the feasibility and benefits of the COTM concept at large hub airports.	12293
Method for Producing Launch/Landing Pads and Structures	2015-04-01	2018-07-19	Current plans for deep space exploration include building landing/launch pads capable of withstanding the rocket blast of much larger spacecraft that that of the xxxxxx days. The proposed concept will develop lightweight launch and landing pad materials from in-situ materials, utilizing regolith to produce controllable porous cast metallic foam bricks/tiles/shapes. These shapes can be utilized to lay a landing/launch platform, as a construction material or as more complex parts of mechanical assemblies. Currently there are no methods of constructing landing/launch pads in space on an extra-terrestrial surface for xxxxxx / xxxxxx xxxxxxding (VTVL). This means that there is a risk to the lander vehicle and crew due to rocket engine plume high pressure impingement on the regolith surface, which could cause erosion resulting in high velocity ejecta and a crater.&nbsp; The ability to robotically construct these pads out of in-situ materials will provide a method of mitigating the risk, decreasing the lifecycle cost and increasing the reliability of vertical take- off and vertical landing vehicles. Robotic precursor missions could use these methods to prepare a landing site by grading it and stabilizing the regolith surface with autonomously emplaced pavers made from in-situ regolith, which have structural integrity and thermal resistance sufficient to withstand the forces and very high temperatures from a chemical rocket engine plume. Ultimately this will increase the safety of the crew during space exploration arrivals and departures.The current plans for xxxxxx human exploration indicate that it will be necessary to build landing/launch pads capable of withstanding the rocket blast of much larger spacecraft than that of the xxxxxx days (20-40 metric tons landed mass). In addition, creating building materials from in-situ materials has been receiving increasing focus. To avoid having to land and launch a great distance from the focus area of exploration, methods to furnish a suitable landing area have focused on such techniques as sintering the regolith with a solar concentrator or microwave energy. The problem with these techniques is that they are very time consuming and dense materials are the result.	12294
High Performance Miniature Bandpass Filters, Phase I	2010-07-01	2018-07-19	This proposal is submitted for developing low impedance, miniaturebandpass RF frequency filter via MEMS technique, in applications ofSMAP, xxxxxx follow-on, xxxxxx, or xxxxxxanced L-band xxxxxx and interferometers.	12295
A Comet Surface Sample Return System, Phase I	2013-11-01	2018-07-19	The proposed xxxxxx I investigation will focus on the development of spacecraft systems required to obtain a sample from the nucleus of a comet, hermetically seal the sample within a capsule, and return the sealed sample to an orbiting spacecraft which can return the sample to Earth. A preliminary systems level concept has been developed. This concept will be refined during the proposed xxxxxx I investigation, including proof-of-concept breadboards and analyses of critical subsystems.	12296
Regenerable Sorbent for Combined CO2, Water, and Trace-Contaminant Capture in the Primary Life Support System (PLSS), Phase I	2013-11-01	2018-07-19	The xxxxxx objective of expanding the human experience into the far reaches of space requires the development of regenerable life support systems.  This proposal addresses the development of an integrated air-revitalization system for the space suit used in xxxxxx Activities (EVAs).  The proposed innovations are: (1) a single xxxxxx, xxxxxx, and trace-contaminant management unit; (2) a single sorbent possessing the capability to remove xxxxxx, xxxxxx, and trace contaminants; (3) monolithic sorption unit to provide the following functions: (a) xxxxxx sorbent; (b) xxxxxx sorbent; (c) trace-contaminants sorbent; (d) low pressure drop; (e) good thermal management (heat transfer and low heat of adsorption); (f) resistance to dusty environments; and (4) regenerable operation.  The overall objective is to develop a xxxxxxxxtrace-contaminant removal system that is regenerable and that possesses weight, size, and power-requirement advantages over the current state of the art. The xxxxxx objectives are: (1) to demonstrate the technical feasibility of using a novel xxxxxx sorbent; and (2) to demonstrate effective xxxxxx, xxxxxx, and ammonia sorption and regeneration.  This will be accomplished in three tasks: (1) Sorbent Preparation and Characterization;  (2) Sorbent xxxxxx; and (3) Product Assessment.	12297
Quantum Calorimeters Based on HgCdTe Alloys, Phase II	2009-12-01	2018-07-19	xxxxxx next generation of x-ray observation missions require x-ray calorimeters with superior energy resolution. xxxxxx has already proven itself as an excellent soft x-ray absorber material due to its low heat capacity. Hg0.834Cd0.166Te was shown in xxxxxx to have a heat capacity superior to that of HgTe. Hence Hg0.834Cd0.166Te-based microcalorimeter arrays are expected to have an energy resolution superior to that of HgTe-based ones. We propose the growth of single crystal Hg0.834Cd0.166Te layers by molecular beam epitaxy on Si substrates. Mercury vacancies will be filled after growth to reduce the possibility of them acting as acceptors and introducing a significant electronic heat capacity. The samples will be characterized by x-ray diffraction to assess their structural quality and crystallinity, FTIR mapping to confirm the uniformity of their energy gaps and alloy compositions, xxxxxx measurements to assess their electrical transport properties, etch pit density counts to determine dislocation densities, transmission electron microscopy to determine microscopic structural information, and heat capacity and thermalization efficiency measurements at mK temperatures. These assessments will further test their promise as high energy resolution quantum calorimeters and will help optimize material and processing parameters. The thermal property measurements will be performed on samples specially processed to remove some or all of the Si substrates and xxxxxx buffer layers. Finally, the development of a broadband infrared/mm wave reflective coating will be undertaken. The produced samples will be compatible with incorporation into microcalorimeter arrays for xxxxxx missions.	12298
